          dates,Median: Non-structural shadow-rate VAR (ex Yields),5%: Non-structural shadow-rate VAR (ex Yields),95%: Non-structural shadow-rate VAR (ex Yields),Median: General shadow-rate VAR (ex Yields),5%: General shadow-rate VAR (ex Yields),95%: General shadow-rate VAR (ex Yields),Median: Non-structural shadow-rate VAR (w/restrictions) (w/Yields),5%: Non-structural shadow-rate VAR (w/restrictions) (w/Yields),95%: Non-structural shadow-rate VAR (w/restrictions) (w/Yields)
        2009-02,       -1.6995873173368778e+00,       -2.7155443190760873e+00,       -7.5534257827570217e-01,       -5.0764495296899081e-01,       -1.3156815048754522e+00,        1.0233808866467466e-01,       -4.5706578491814664e-01,       -1.0320220197686223e+00,        4.7375677460709587e-02
        2009-03,       -2.1944167729671569e+00,       -3.3297356042279036e+00,       -1.1905645155887350e+00,       -6.4927217036220819e-01,       -1.5751583627141326e+00,        6.5826390405317209e-02,       -5.4225681291179906e-01,       -1.1908541018733101e+00,        1.2463137259211748e-02
        2009-04,       -2.5402974653046324e+00,       -3.8434459090790054e+00,       -1.4135975448200102e+00,       -7.1378105202949393e-01,       -1.6990536230349951e+00,        4.1014100711442486e-02,       -5.8408658785859990e-01,       -1.3224907134713240e+00,        8.4352631561583902e-03
        2009-05,       -2.6244893812610739e+00,       -3.9175926746076115e+00,       -1.4077322263739909e+00,       -6.5833558417509974e-01,       -1.6145022362791590e+00,        5.3124440325369608e-02,       -5.5478214535242398e-01,       -1.3227211335613549e+00,        5.6320324567136065e-02
        2009-06,       -2.7266643450623524e+00,       -4.0364549770403979e+00,       -1.2639568449012408e+00,       -6.0555907779906981e-01,       -1.5953733674502151e+00,        4.9824749112615849e-02,       -6.7404872422253659e-01,       -1.4447205483268286e+00,       -6.3311592239207293e-02
        2009-07,       -2.5940494900487963e+00,       -3.9737688104583961e+00,       -9.8221239358420953e-01,       -4.5694742456499426e-01,       -1.4732219729584732e+00,        1.3219374684432722e-01,       -5.6002743887698125e-01,       -1.3942595094413668e+00,        3.2271813123836701e-02
        2009-08,       -2.4890719392645355e+00,       -3.9558391881229396e+00,       -8.9017285439231530e-01,       -2.9618710870924481e-01,       -1.1887556898160176e+00,        1.8255444058770787e-01,       -4.5992204769295564e-01,       -1.1974312676787771e+00,        1.0856895258233806e-01
        2009-09,       -2.6087373473203241e+00,       -4.1866745805921495e+00,       -9.4005664049224347e-01,       -3.7933838430072425e-01,       -1.2110036845965770e+00,        1.4657680121192351e-01,       -5.0397426005323354e-01,       -1.2387205842139342e+00,        3.8281631733757829e-02
        2009-10,       -2.7825126583885482e+00,       -4.3428469195947343e+00,       -1.2928595492843598e+00,       -4.6367614593912304e-01,       -1.3303334098762065e+00,        1.0593962709408576e-01,       -5.5686181181532601e-01,       -1.2696011786215953e+00,        1.8417112024493601e-02
        2009-11,       -2.5078452774322528e+00,       -4.0252498495935960e+00,       -1.1318471200830811e+00,       -3.4593668748176043e-01,       -1.1933410136381681e+00,        1.7631421495020558e-01,       -5.3921405243449283e-01,       -1.2632940827629022e+00,        5.2182346341439263e-02
        2009-12,       -2.5506101006134281e+00,       -4.1589003520782502e+00,       -1.1779088915870242e+00,       -4.4456682184178359e-01,       -1.2322060015664604e+00,        7.9410905373852647e-02,       -6.3098605679427822e-01,       -1.3528972263194796e+00,       -1.3813411070181303e-02
