dates,KRIPPNERSHADOWRATE
726377,7.35
726408,7.76
726438,8.07
726469,8.27
726500,8.53
726528,8.82
726559,8.65
726589,8.43
726620,8.15
726650,7.88
726681,7.9
726712,7.75
726742,7.64
726773,7.69
726803,7.63
726834,7.64
726865,7.74
726893,7.9
726924,7.77
726954,7.74
726985,7.73
727015,7.62
727046,7.45
727077,7.36
727107,7.17
727138,7.06
727168,6.74
727199,6.22
727230,5.94
727258,5.91
727289,5.65
727319,5.46
727350,5.57
727380,5.58
727411,5.33
727442,5.22
727472,4.99
727503,4.56
727533,4.07
727564,3.8
727595,3.84
727624,4.04
727655,3.75
727685,3.63
727716,3.66
727746,3.21
727777,3.13
727808,2.91
727838,2.86
727869,3.13
727899,3.22
727930,3
727961,2.93
727989,2.95
728020,2.87
728050,2.96
728081,3.07
728111,3.04
728142,3.02
728173,2.95
728203,3.02
728234,3.1
728264,3.06
728295,2.98
728326,3.25
728354,3.5
728385,3.68
728415,4.14
728446,4.14
728476,4.33
728507,4.48
728538,4.62
728568,4.95
728599,5.29
728629,5.6
728660,6.50507849360783
728691,6.21797439820878
728719,5.94969910562096
728750,5.88685411902344
728780,5.75732312709435
728811,5.45506601765751
728841,5.49316423619764
728872,5.59534297861909
728903,5.42253286181929
728933,5.43344168966592
728964,5.32647726624092
728994,5.18152350468515
729025,4.98938428414707
729056,4.77729973198898
729085,5.16776140587663
729116,5.36983296941338
729146,5.44175207493544
729177,5.61607806787032
729207,5.62375973780965
729238,5.43736156919003
729269,5.62169907423102
729299,5.35232374160546
729330,5.20528662595021
729360,5.29222836824866
729391,5.46787893956246
729422,5.31746033896069
729450,5.63185192046388
729481,5.83951841082208
729511,5.67044947484994
729542,5.51152606400712
729572,5.41676638618257
729603,5.53451348818928
729634,5.47251205596206
729664,5.40593074826353
729695,5.42244328250649
729725,5.51111048987303
729756,5.26770901581648
729787,5.2614591627456
729815,5.38035289442859
729846,5.36961657418532
729876,5.40392601292283
729907,5.36564320928648
729937,5.37688764619182
729968,5.23702892882854
729999,4.77759767690569
730029,4.16522602487307
730060,4.47057573131626
730090,4.42494850612257
730121,4.43933122958998
730152,4.64677785152576
730180,4.78194133642488
730211,4.61165996932029
730241,4.84034954832064
730272,5.1558033547048
730302,5.06800806381775
730333,5.23409782648542
730364,5.22454304567265
730394,5.3695767128776
730425,5.43960847572527
730455,5.74735454018748
730486,6.02101285898199
730517,6.28273336008813
730546,6.37064094384126
730577,6.37094658731984
730607,6.77688620200233
730638,6.49903553978883
730668,6.4365218670057
730699,6.43718687427403
730730,6.36797342486646
730760,6.24650866943282
730791,6.26948357790232
730821,5.75328910369318
730852,5.08263253280269
730883,4.74523865724192
730911,4.30928912810945
730942,3.93601309951718
730972,3.70963289499137
731003,3.46788182619089
731033,3.40861937159246
731064,3.12998820036131
731095,2.56843482952107
731125,1.81784009692089
731156,1.67430851352583
731186,1.75911480994449
731217,1.58460617931894
731248,1.6295992922823
731276,1.98816967047707
731307,1.91148080639197
731337,1.76569424327571
731368,1.54996182629887
731398,1.25345280009474
731429,0.946869947598119
731460,0.950069925442686
731490,0.944984940032223
731521,0.723287631073305
731551,0.653177829728651
731582,0.555508632196454
731613,0.517300636151951
731641,0.467793592893139
731672,0.510725105616727
731702,0.317924653833863
731733,0.193257343839026
731763,0.371039965442663
731794,0.523835732019434
731825,0.386795877494977
731855,0.400804229706191
731886,0.530837134361046
731916,0.536068551015762
731947,0.433627988683751
731978,0.454180323951834
732007,0.354475455809377
732038,0.707955251088856
732068,1.03511322399534
732099,1.27069397002832
732129,1.25976755398181
732160,1.25684231340331
732191,1.31841826428751
732221,1.49407621096665
732252,1.82555777364119
732282,2.05624950020539
732313,2.28004008804833
732344,2.56475724457666
732372,2.96510370827771
732403,2.94634371770321
732433,2.95128411378538
732464,3.05477552920412
732494,3.39058387700258
732525,3.66734550723479
732556,3.5957079705547
732586,3.944317091398
732617,4.15771081197445
732647,4.18323876362507
732678,4.32224132320843
732709,4.65114047020313
732737,4.8109977123264
732768,4.94362103822945
732798,4.99484470064782
732829,5.16050551083387
732859,5.30476621989852
732890,5.15872345345525
732921,5.07810387883238
732951,5.11319553358629
732982,5.07208780698244
733012,5.06115047781563
733043,5.2040792492706
733074,5.17810604105549
733102,5.01744400168259
733133,5.07336348864827
733163,5.11836634191052
733194,5.27896447223782
733224,5.14283823729952
733255,4.71723315912264
733286,4.3301440002264
733316,4.20766567226216
733347,3.80045217744048
733377,3.52086492653748
733408,2.81625712777017
733439,1.98688530007084
733468,1.4232263835687
733499,1.5184034618489
733529,1.74076911839112
733560,2.0519486494748
733590,1.91189930625813
733621,1.78215870618701
733652,1.55407110561258
733682,1.0873697521448
733713,0.37826484441436
733743,-0.051379379656108
733774,0.012859353425863
733805,0.080285701249445
733833,-0.0780884041347157
733864,-0.162706162346908
733894,-0.0962300225513223
733925,0.0459500567855499
733955,-0.161435330482917
733986,-0.0823295466994263
734017,-0.21907531475574
734047,-0.156349906178232
734078,-0.360072831489472
734108,-0.299239203799828
734139,-0.335406013782581
734170,-0.592259739572249
734198,-0.642404736705087
734229,-0.471750154594619
734259,-0.807284339024877
734290,-0.949704493831215
734320,-1.26648681304208
734351,-1.67242498532798
734382,-1.68010011652893
734412,-2.08200615150136
734443,-2.31308322357907
734473,-1.76821889708453
734504,-1.50854302128967
734535,-1.21966090749774
734563,-1.33287611027352
734594,-1.1218722747178
734624,-1.48744042071724
734655,-1.96825168899448
734685,-2.13687563938627
734716,-3.18314207965261
734747,-3.73906735890599
734777,-3.23695737808061
734808,-3.08293123636597
734838,-2.96669141689798
734869,-2.93046881678689
734900,-3.01904445066969
734929,-2.75673062457809
734960,-2.74721409155529
734990,-3.13809017733891
735021,-3.26426360723487
735051,-3.30992421065599
735082,-3.17363728606912
735113,-3.30082473002477
735143,-3.60110416245092
735174,-3.76386794310073
735204,-3.86308726439693
735235,-3.71936004857589
735266,-3.56557316239008
735294,-3.70479107585082
735325,-4.0044106657564
735355,-3.96488272918717
735386,-3.13552571629987
735416,-2.35856119774954
735447,-2.34196281148737
735478,-2.0787751262134
735508,-2.57338949320924
735539,-2.83100309944017
735569,-2.79571634156437
735600,-2.40892213077802
735631,-2.45834592054193
735659,-2.21447663169064
735690,-1.67000054014325
735720,-1.48866684850019
735751,-1.31009161909424
735781,-1.06908002917455
735812,-0.865080450694547
735843,-0.566682685639502
735873,-0.683709166107708
735904,-0.577150695971788
735934,-0.373373973547156
735965,-0.281029750589236
735996,-0.0669208191667679
736024,-0.00888769064171538
736055,-0.148193541114436
736085,-0.0722768685168689
736116,-0.0532155443352476
736146,-0.179830765652654
736177,-0.134702385989754
736208,-0.194519939298952
736238,-0.425177271748609
736269,-0.0503637875136474
736299,0.153763295766573
736330,0.121228204881012
736361,-0.1963601989708
736390,0.1130359553998
736421,0.136125230200974
736451,0.202241358485686
736482,0.166198029225868
736512,0.0542042467928677
736543,0.267661376071583
736574,0.359878704959391
736604,0.396044679081639
736635,0.51605562767137
736665,0.62228322793331
736696,0.622394761949619
736727,0.668415923877815
736755,0.864752422635188
736786,0.875253697149141
736816,0.978708870456453
736847,1.03125818732111
736877,1.09567937744223
736908,1.03858180307494
736939,1.09730594807664
736969,1.24916741757165
737000,1.32892949114801
737030,1.4640853873861
737061,1.61664283502632
737092,1.71800629474614
737120,1.7984244020032
737151,1.91975351883236
737181,2.05201794483852
737212,2.07305248833805
737242,2.16913618854393
737273,2.23316784120344
737304,2.35635749501171
737334,2.44558902686832
737365,2.44839697991678
737395,2.35829828476853
737426,2.33007682662271
737457,2.32048594409581
737485,2.26470210252089
737516,2.24710667937762
737546,2.14831296656847
737577,1.8361789776061
737607,1.75459515722949
737638,1.49590597704211
737669,1.55144706807133
737699,1.45532452348507
737730,1.41559097093092
737760,1.43243153166056
737791,1.3964066411264
737822,1.29408333189288
737851,0.165937615215993
737882,-0.518175694065917
737912,-0.993527426507643
737943,-1.30913013871998
737973,-1.79971542931728
738004,-2.10508328886937
738035,-2.24898868753451
738065,-2.42984816057797
738096,-2.4611015383355
738126,-2.43582832788068
738157,-2.3790147606628
738188,-2.18013335016005
738216,-1.60058386944414
738247,-1.4416393689481
738277,-1.48156564390669
738308,-1.4485353689255
738338,-1.16491358923185
738369,-0.996195850191618
738400,-0.705723978052177
738430,-0.285985175036948
738461,0.00983786437506786
738491,0.145186412364133
738522,0.381483778292054
738553,0.735457965128529
738581,1.06256499851952
738612,0.76
738642,0.98
738673,1.49
738703,2.23
738734,2.63
