dates,EXCESSBONDPREMIUM,UNRATE,PCEPI,FEDFUNDS
723425,-0.0808347287011015,7.5,11.0470275524625,10.87
723455,-0.141800514812793,7.5,9.58696499602034,12.81
723486,0.278650035054411,7.5,9.73584655376598,15.85
723516,0.0654580551937083,7.2,7.76012696283459,18.9
723547,0.351789240702604,7.5,11.4777563042365,19.08
723578,0.0858188981425057,7.4,12.0811468637141,15.93
723606,-0.0480350936005445,7.4,8.32247096898957,14.7
723637,0.493362290139589,7.2,5.23668767691028,15.72
723667,0.336124563890181,7.5,5.37566321910727,18.52
723698,0.401996037380328,7.5,4.76121717178764,19.1
723728,0.397024456106742,7.2,7.22668018058616,19.04
723759,0.273757300987613,7.4,7.4751679889836,17.82
723790,0.378541040636362,7.6,7.24438712844986,15.87
723820,0.60784753081964,7.9,5.41785390038445,15.08
723851,0.224154785066154,8.3,6.43798024257212,13.31
723881,0.584915890287419,8.5,3.70056974482917,12.37
723912,0.750238476751107,8.6,7.10844149760934,13.22
723943,0.501186957594691,8.9,3.59007187479818,14.78
723971,0.91645757471154,9,3.09072738522378,14.68
724002,0.825542236653575,9.3,0.617191364354142,14.94
724032,0.745225903866857,9.4,7.07497830502337,14.45
724063,0.722292248391964,9.6,8.68397198267381,14.15
724093,0.67474055175877,9.8,7.08384583695825,12.59
724124,0.0550687600247175,9.8,3.72749323765955,10.12
724155,0.484368388839026,10.1,3.31478049473084,10.31
724185,0.261307748212854,10.4,6.72690955412918,9.71
724216,0.492744349079895,10.8,3.58558563617546,9.2
724246,0.651069640761637,10.8,1.81360861824835,8.95
724277,0.266890436988139,10.4,5.59741783913239,8.68
724308,0.196910755023475,10.4,2.02448355804687,8.51
724336,0.106449396093291,10.3,1.55307915469685,8.77
724367,0.0270443420019992,10.2,5.45678941120418,8.8
724397,-0.180561072459517,10.1,3.40404918015214,8.63
724428,-0.0194035063044342,10.1,4.4669152400461,8.98
724458,-0.160091484254629,9.4,6.72992055795518,9.37
724489,-0.216697534151703,9.5,5.14944430463871,9.56
724520,-0.127259756428609,9.2,4.16621094991498,9.45
724550,-0.113959128797687,8.8,2.06569437907138,9.48
724581,-0.0177558495082467,8.5,1.67875799307957,9.34
724611,0.0492374677879205,8.3,0.670846162102379,9.47
724642,-0.0333018491018795,8,5.21022946020793,9.56
724673,-0.121866734684664,7.8,8.03378126913099,9.59
724702,-0.0284168515766403,7.8,3.94958919398096,9.91
724733,0.0398865249380815,7.7,4.54836118326192,10.29
724763,-0.367103724596939,7.4,1.50446658164132,10.32
724794,-0.110129376834675,7.2,2.13592099500879,11.06
724824,-0.187446796018783,7.5,4.28383776081827,11.23
724855,0.155983701320793,7.5,3.68635213002584,11.64
724886,-0.0691267533545785,7.3,1.62958102137569,11.3
724916,-0.21572112740288,7.4,2.83484824827873,9.99
724947,-0.153660370085128,7.2,1.66988817051834,9.43
724977,-0.0169782765487305,7.3,3.37904522296046,8.38
725008,-0.136176399738299,7.3,5.99401845662779,8.35
725039,-0.20174350729594,7.2,5.55227268181486,8.5
725067,0.036855223495268,7.2,4.68335625355376,8.58
725098,-0.110396179600593,7.3,1.75440293270803,8.27
725128,-0.318865645253915,7.2,2.84260629243676,7.97
725159,0.0184166990913961,7.4,3.24370501366698,7.53
725189,-0.0244103350740252,7.4,2.9412333961421,7.88
725220,0.024326977765498,7.1,3.97052550541801,7.9
725251,0.0883653608497612,7.1,2.02531693646382,7.92
725281,0.195991641851262,7.1,1.99945753884805,7.99
725312,0.182811049950694,7,3.47426764778991,8.05
725342,-0.0298840469772914,7,4.04435765338462,8.27
725373,0.230999807656271,6.7,5.4971951805463,8.14
725404,-0.200805229221473,7.2,0,7.86
725432,0.577289044130013,7.2,-2.62304904101178,7.48
725463,0.518184871019569,7.1,-2.47268899505695,6.99
