dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PPICMM,PCEPI,WUXIASHADOWRATE,HOUST,SP500,EXUSUKx,TB6MS,GS1,GS5,GS10,BAA
727869,2.61393676812247,2.04881667916439,4.83099353573202,80.226,7.4,1.46146503360427,40.3,1.98840144915522,-0.966572746580496,-48.4153518116848,2.35740790571093,2.98305317212807,7.10167597161944,29.7091813508722,-95.2287348626796,3.34,3.68,6.04,6.87,8.96
727899,42.9609296711007,7.86997286172451,1.89311334883726,80.0185,7.4,2.4464392955565,40.3,0.992966544039042,0.966572746580496,-2.19780281216195,2.08766473106827,2.75757713285953,7.11232744471091,35.786828768428,18.871010766557,3.36,3.71,6.08,6.77,8.81
727930,-33.5037383939799,-1.72364591065453,4.78367466476435,80.6153,7.3,3.27239599206166,40.5,2.97397921736042,1.93081296684063,-1.1004127318575,2.9307492977015,2.8158270528483,7.09837563859079,-1.12990466166032,-14.3993944394068,3.14,3.5,5.83,6.6,8.67
727961,5.51407126034604,2.22158844693254,5.66851747487291,80.6867,7.1,2.72928364816565,40.6,2.96662697446699,2.89040685709416,-4.41176967517052,1.79727798893765,2.87044820279727,7.09837563859079,17.7075499356551,-75.1254693097631,3.07,3.39,5.43,6.26,8.39
727989,-3.13738999461464,-3.24032600129627,-1.16035523779772,80.3924,7,-0.545360356236557,40.3,2.95931099423203,2.88346153957306,-13.3334705100843,2.46247741196051,2.92547776657819,6.98749024700099,22.7665878270507,18.3651730116198,3.05,3.33,5.19,5.98,8.15
728020,9.0064303900192,8.04314785611595,3.43721749929031,80.6448,7.1,3.29021042293718,40.8,3.93442975403815,6.70125395268002,-33.996607951471,3.17616019420193,2.91226032848024,7.13727843726039,-19.0232813715493,66.27548978995,2.97,3.24,5.13,5.97,8.14
728050,-0.273263633948062,4.16616955948683,-4.80932264343856,80.3984,7.1,2.95566651887853,40.6,2.94237989674428,0,-55.2767981768955,3.70948517201448,3.10141099184876,7.13886699994552,5.86269782524695,2.32828943821033,3.07,3.36,5.2,6.04,8.21
728081,-1.47693387673442,4.35691521609307,2.8624677815376,80.1945,7,1.96279588485808,40.5,0.9791922207949,-4.78278831624444,-14.5309545476991,0.419220080246774,3.13662932663363,7.15461535691366,7.54947581881424,-31.0236853802008,3.2,3.54,5.22,5.96,8.07
728111,3.90564378649998,5.89359984123625,2.89059607159317,80.2216,6.9,3.31103346163744,40.6,1.95599065311729,-0.958849431758679,13.326739695011,1.90211701196965,3.0810375894548,7.13409372119287,-2.06399782832669,-10.1475452382527,3.16,3.47,5.09,5.81,7.93
728142,2.59123934735612,1.20380534974878,-1.11858957888877,79.931,6.8,1.63051572590973,40.7,1.95280759125094,-11.5663546053231,23.8576446645951,2.05577947751294,3.08617962334254,7.17011954344963,18.2116162039964,-3.29438755236993,3.14,3.44,5.03,5.68,7.6
728173,-2.70130337226036,6.87319712680221,6.12472910670157,80.3431,6.7,2.60853265023115,40.8,2.92326575745694,1.93548429055781,-5.92009094154697,1.25264603829933,3.03764463590414,7.20266119652324,13.427338272524,26.5775733482918,3.06,3.36,4.73,5.36,7.34
728203,-5.05544221431364,1.86401509781895,8.88532104243183,80.86,6.8,3.0647786854658,40.7,2.91616182395043,0.966572746580496,-41.050280373226,3.76744596439984,3.11137145125299,7.23849684089437,12.1152750385033,-17.8391841978716,3.12,3.39,4.71,5.33,7.31
728234,3.0807390902865,3.35602348264956,5.69424481930909,81.0919,6.6,2.69268876644659,40.8,3.87722469773557,1.93081296684063,-33.6296009378358,2.26864446832025,3.13468518506237,7.22693601849329,-2.6154802701825,-17.2977417709083,3.26,3.58,5.06,5.72,7.66
728264,41.0110540903226,4.21205097947279,6.75804030702949,81.3961,6.5,3.53101932007576,40.8,4.82898035967043,0,5.04202422444031,0.276792666221937,3.12744610945956,7.33498187887181,7.9066648389432,8.47888861133876,3.23,3.61,5.15,5.77,7.69
728295,-23.9350952076961,3.27476575880823,3.81858753812985,81.2877,6.6,2.99854763886671,40.9,1.92616413747437,3.85233075629827,13.757315868839,0.397777637298091,3.04533151132082,7.14834574390007,17.9950972652779,0.804397402422707,3.15,3.54,5.09,5.75,7.65
728326,1.19933798186622,9.59189800026117,0.856882960448502,81.2123,6.6,1.98069049653853,40.2,6.71733061539523,1.92153764036895,52.3144167507937,2.78075760433083,3.42867923113284,7.19818357710194,-3.58258521179344,-10.5805834374086,3.43,3.87,5.4,5.97,7.76
728354,3.23101871711131,0.139316189858008,11.934329040297,82.0455,6.5,4.89508383758803,41.1,-1.91540343938659,0.959616204676905,55.8240187618711,3.30778054218577,3.6875159333393,7.35500192110526,-19.9365280034709,10.2588891790649,3.78,4.32,5.94,6.48,8.13
728385,11.1453363603168,5.06409469728908,7.07440635633816,82.5274,6.4,3.6397650773047,41.1,1.91540343938659,0,14.682536110606,1.40992407788865,4.06585809458144,7.28961052145117,-43.682378324533,-7.74664784278627,4.09,4.82,6.52,6.97,8.52
728415,2.4626045455804,-2.14218473722063,5.62578704874959,82.7575,6.1,3.53395975103794,41.2,3.82165928102403,0,25.5446943357665,1.73434008653643,4.43178311604578,7.3304052118444,9.80709810896805,17.5995118469864,4.6,5.31,6.78,7.18,8.62
