dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PPICMM,PCEPI,FEDFUNDS,HOUST,SP500,EXUSUKx,TB6MS,GS1,GS5,GS10,BAA
716423,3.41518000789378,-3.61757379916376,13.7313945084321,78.1087,7,3.24144507916557,39.7,0,0,10.7303248507939,2.60194042794843,1.17,7.19668657083435,-3.2962022861561,-1.03277636727084,2.45,2.92,3.84,3.92,5.09
716454,0.660796564820032,4.32688895455886,10.8700906128602,78.9783,6.6,3.87379165231323,39.7,5.18359337341958,3.59820359550778,0,1.0103440577609,2,7.17930796950403,42.3371989780584,6.65440053793258,2.66,3.06,3.96,4.04,5.11
716485,1.46938417304767,6.62150449246202,-1.35276203211454,78.1562,6.7,1.98737693328468,39.2,0,-3.59820359550778,3.55555815678823,1.36982201182505,1.88,7.26473017792987,-9.41878215690046,3.97499962763472,2.68,3.06,3.9,3.98,5.12
716515,11.8346039119551,7.54116557549196,22.8068510600602,79.5528,6.5,2.95289837739077,40,10.3004924296698,0,-21.4931118798358,-0.144118177078134,2.26,7.25488481007734,13.1303986367801,1.36470268457947,2.66,3.05,3.8,3.92,5.13
716546,10.6896782112379,11.5391600831332,18.4597248701637,80.7658,6.1,4.83233922900297,40.2,5.11727854374908,3.59820359550778,-7.25077734715551,0.0720612520854758,2.61,7.23345541862144,53.1579577324127,-0.213132515701275,2.7,3.07,3.82,3.94,5.11
716576,7.13081099555026,8.30017981128268,10.4264192227289,81.6041,6,2.84635307790211,39.7,0,0,3.63086509984463,0.360241364417746,2.33,7.21890970761906,11.0909625812226,-2.26153502797954,2.88,3.18,3.91,4.06,5.1
716607,-1.14622015284134,0.375920224449899,-10.4264192227289,80.2408,5.8,0.415440544222889,39.3,5.09554905774134,3.58744661803954,0,2.23108589774075,2.15,7.21597500265147,-45.5135868039061,0.597800958881134,2.94,3.28,3.94,4.08,5.08
716638,5.0350245256336,-0.563924507153857,19.4722350561705,81.4267,5.5,6.47536523429793,39.9,0,3.57675376576552,-7.27274953402972,3.23130973456944,2.37,7.15305163493748,19.8152251672855,1.53583638712256,2.93,3.28,3.89,4.04,5.07
716666,8.24181129576687,9.92385964242644,6.42115613127761,81.8912,5.6,1.8902260772677,40.1,5.07400333142547,-3.57675376576552,3.64188443418509,1.57659025365735,2.85,7.27447955877387,1.19564453703411,0.298406722793931,2.87,3.06,3.68,3.93,5.04
716697,6.13199744461284,4.15729881406222,2.55698057477041,81.7429,5.6,7.07813410691784,40.1,5.05263904361195,0,-3.64188443418509,1.35993572754849,2.78,7.32909373624659,-38.8641745084076,-0.554242988553444,2.83,2.99,3.6,3.84,5.02
